0,114
0,37
1,765
2,798
3,314
3,419
3,636
4,54
4,667
4,372
4,67
5,515
5,593
5,748
5,364
6,674
6,311
6,706
7,253
7,267
7,777
8,966
8,260
10,244
10,316
11,662
12,272
12,886
13,276
13,536
13,34
13,311
13,627
13,291
14,54
14,565
14,799
15,707
15,162
17,116
17,934
17,456
17,728
17,594
18,237
18,16
18,450
19,86
19,658
19,264
20,844
20,538
20,511
20,888
20,453
21,860
21,113
22,937
24,289
24,713
24,622
26,81
26,501
26,363
27,993
27,125
28,383
29,791
29,369
29,368
29,106
31,556
31,159
32,415
32,620
32,348
33,207
34,24
34,151
35,430
36,50
37,502
37,40
37,260
37,833
38,450
38,391
39,507
39,156
39,816
39,981
40,776
41,761
43,873
43,302
43,711
44,984
44,936
45,145
45,42
46,190
46,192
47,609
47,25
48,739
48,507
48,922
48,925
48,790
51,791
51,255
51,364
52,33
52,892
52,913
54,792
55,951
56,649
56,227
57,850
57,556
57,76
57,427
58,883
58,124
59,632
59,767
59,362
60,199
60,792
60,406
60,937
60,201
60,880
60,696
61,559
61,746
62,608
62,960
63,552
63,144
63,934
64,711
64,654
65,490
65,303
65,545
66,447
67,399
67,476
67,574
68,522
68,800
69,636
69,120
69,887
69,216
69,690
69,353
71,770
71,673
72,648
72,927
72,187
73,381
73,412
74,146
74,356
74,371
74,395
74,880
74,643
74,982
75,474
75,713
75,739
75,252
75,832
76,6
76,328
76,874
77,299
77,867
78,421
78,379
79,184
79,291
79,573
80,147
80,61
81,32
82,151
84,94
84,64
85,148
85,473
86,615
86,377
87,363
87,76
88,154
88,134
88,979
88,664
89,288
89,271
89,190
90,84
90,735
91,50
93,331
93,777
93,102
95,457
95,440
95,367
95,829
96,430
96,686
96,452
96,395
96,476
96,445
97,753
98,471
99,471
99,976
100,752
100,909
101,490
101,177
101,388
101,441
102,260
104,243
104,93
105,693
105,681
105,447
106,304
106,545
107,215
107,632
108,350
108,772
112,652
113,709
113,381
114,552
115,953
115,912
115,175
116,188
118,218
119,116
119,851
119,297
120,929
120,533
120,638
121,523
122,589
122,881
122,449
