20

4,13,7,11,6,15,2,3,17,14,20,19,1,12,10,18,16,5,8,9
4,11,20,8,7,1,12,14,5,16,2,10,9,17,18,19,3,6,15,13
15,16,5,14,8,13,10,1,20,4,6,3,7,18,17,9,11,2,12,19
1,11,5,19,14,9,16,18,8,7,17,3,10,2,12,15,20,4,6,13
6,9,13,8,16,15,4,20,19,14,5,10,7,1,11,18,17,2,12,3
8,3,20,14,5,13,9,19,18,7,16,10,2,12,17,4,6,1,11,15
17,9,12,13,15,14,20,2,10,4,11,16,6,19,5,1,7,8,3,18
9,3,1,16,15,11,4,2,10,5,12,18,8,17,14,7,6,19,13,20
13,12,20,4,17,6,3,10,18,11,1,15,9,5,8,19,16,7,2,14
9,7,8,2,4,5,14,11,13,20,17,1,12,19,16,15,3,6,10,18
15,14,5,1,2,4,6,9,19,13,17,10,20,16,12,3,8,11,18,7
9,6,15,2,11,14,20,8,3,4,7,12,18,19,16,1,13,10,5,17
10,12,6,11,2,18,3,7,17,20,16,1,13,4,15,8,5,19,9,14
12,11,10,20,8,16,17,18,5,19,7,1,14,3,6,15,9,2,13,4
18,2,20,15,8,5,10,6,14,12,13,3,19,9,4,11,16,17,7,1
2,8,10,14,4,11,12,3,17,1,19,13,16,9,20,15,7,5,18,6
10,1,7,19,3,13,20,9,2,6,18,8,16,4,12,14,17,11,15,5
12,6,5,14,17,20,13,15,18,1,19,2,3,10,7,9,4,11,8,16
14,10,7,18,13,12,5,15,17,16,8,11,19,3,6,1,2,20,4,9
12,4,9,1,5,11,8,14,17,6,20,19,16,7,13,15,18,3,10,2

3,4,12,20,6,17,1,5,8,9,11,16,15,2,18,19,7,13,14,10
5,14,1,15,4,19,8,18,20,16,13,6,10,17,11,7,3,12,9,2
19,7,20,14,1,8,2,16,4,12,9,11,6,18,15,10,17,5,13,3
16,7,13,11,15,3,6,20,8,18,17,9,4,1,12,19,10,2,14,5
19,1,12,3,20,6,2,5,14,16,18,10,13,7,4,15,11,9,8,17
3,16,18,1,2,10,6,4,7,14,13,11,19,5,20,17,9,8,12,15
18,9,2,10,15,4,8,6,12,17,20,3,7,1,11,16,13,19,5,14
11,18,3,2,17,7,14,16,12,6,9,20,1,15,5,4,19,13,10,8
17,10,1,8,2,9,12,4,5,18,19,15,20,6,11,13,14,16,7,3
15,4,12,3,11,10,19,20,16,8,9,6,14,2,1,5,17,7,13,18
14,15,20,12,9,7,8,19,17,11,16,5,6,10,18,1,2,4,13,3
1,5,11,4,3,20,9,14,19,6,10,13,12,17,7,16,2,8,15,18
9,3,10,14,19,18,15,16,6,11,5,4,17,1,20,12,8,7,2,13
7,5,1,16,14,15,12,20,4,13,6,17,2,8,3,9,11,19,10,18
15,7,12,4,17,10,14,3,8,1,2,13,16,6,11,9,18,5,20,19
20,10,15,11,13,6,3,8,18,4,19,9,5,7,12,2,16,1,17,14
9,13,1,14,11,5,20,2,7,17,10,12,15,4,8,19,16,6,18,3
2,9,7,20,5,10,19,4,3,11,15,8,1,12,18,16,13,14,6,17
12,2,16,6,3,18,10,7,4,15,8,14,9,5,13,17,20,11,1,19
2,16,12,1,3,4,18,7,13,15,20,19,17,14,5,10,11,8,9,6
