40

30,1,12,36,27,11,9,40,26,8,17,6,2,19,21,7,14,15,24,4,18,22,20,32,23,16,38,34,5,39,37,35,29,3,28,25,31,33,10,13
4,20,35,23,37,2,8,31,13,39,27,9,28,12,21,7,18,1,32,15,6,40,38,3,16,25,11,5,36,22,24,33,34,26,14,29,30,17,10,19
21,25,24,27,23,19,10,6,22,31,11,33,15,8,36,1,4,35,20,32,38,9,7,2,12,13,17,30,40,34,3,37,14,16,5,29,26,28,18,39
22,12,4,40,1,7,2,37,17,33,11,24,31,13,30,14,21,32,28,36,18,25,3,8,10,20,27,26,38,15,16,39,6,35,9,5,29,23,34,19
3,28,31,16,13,20,17,2,25,1,14,40,6,30,21,19,27,10,36,9,7,37,35,4,26,11,29,39,22,24,15,33,18,34,5,38,8,12,32,23
26,33,21,1,15,20,19,16,14,25,22,12,31,39,4,6,29,9,23,2,8,32,18,5,11,3,17,40,28,36,38,34,27,30,10,37,13,24,35,7
1,32,20,33,25,11,38,40,2,7,17,3,30,6,21,15,23,36,34,18,26,9,27,12,8,19,24,37,13,5,31,39,35,29,10,28,22,16,14,4
3,4,35,32,36,14,39,27,10,1,20,19,23,29,17,28,40,38,6,9,30,18,31,37,11,8,13,33,26,12,5,24,21,34,22,25,15,7,2,16
19,24,30,4,10,25,6,37,35,33,38,3,18,22,34,7,29,17,15,5,21,20,26,13,1,27,36,39,11,31,16,9,40,23,2,8,32,12,14,28
31,10,13,3,12,35,16,4,15,26,25,8,29,11,9,14,34,40,32,33,27,7,17,36,18,37,21,30,5,28,39,23,2,22,19,24,1,20,38,6
22,28,34,24,26,31,38,32,10,25,11,36,17,29,40,7,20,21,8,19,9,1,5,30,39,12,6,14,23,27,35,4,15,13,3,16,37,2,18,33
15,36,26,25,2,30,1,19,32,38,3,22,20,31,24,7,5,34,29,23,18,37,10,35,14,8,21,12,40,16,33,17,27,28,9,39,11,4,6,13
25,10,28,26,39,11,24,5,35,19,20,15,12,40,17,32,4,37,16,13,30,14,34,8,36,38,3,31,21,29,2,27,33,6,9,23,18,7,1,22
27,35,2,25,36,29,38,34,33,9,12,31,13,37,18,7,3,28,8,21,15,19,5,4,11,20,30,1,32,23,40,26,39,24,17,16,10,6,22,14
39,6,35,40,3,2,1,14,31,8,33,20,25,24,4,32,30,5,11,34,36,28,7,15,26,37,29,22,17,16,21,18,9,10,23,12,13,19,38,27
17,16,5,2,40,6,38,39,30,12,11,27,33,1,3,8,29,26,25,10,32,9,23,28,7,20,22,15,4,18,37,14,19,31,13,21,24,36,34,35
31,40,34,24,35,14,12,17,36,6,11,29,10,30,38,4,28,2,20,27,21,5,7,16,37,8,15,25,3,39,13,22,33,9,26,32,18,19,23,1
36,11,9,13,18,10,32,12,6,7,25,26,19,16,27,15,23,22,29,17,2,38,28,8,30,20,3,34,35,40,14,1,24,31,33,4,21,39,5,37
2,7,12,34,17,30,36,6,38,13,25,37,31,32,26,23,11,16,27,15,28,39,4,29,8,1,9,22,20,33,35,18,40,10,21,5,24,3,19,14
4,18,29,13,19,23,37,22,15,11,5,34,7,33,28,12,8,17,40,39,25,2,32,35,10,3,27,20,38,36,21,6,24,9,16,1,31,30,26,14
9,25,17,38,40,14,34,32,2,36,12,15,5,18,26,24,31,33,30,21,19,16,27,3,11,10,29,35,4,7,22,8,39,20,37,13,1,28,23,6
6,33,37,20,19,11,2,28,34,25,24,9,14,35,31,30,38,8,17,5,39,15,36,7,4,18,21,26,10,16,32,1,13,40,23,29,3,22,27,12
22,21,36,38,27,9,3,26,10,25,29,16,5,39,11,17,23,2,7,35,20,31,4,14,28,6,37,33,15,8,30,18,1,24,13,32,34,19,12,40
27,33,18,35,3,12,29,20,8,24,16,25,4,22,2,5,1,10,26,34,19,37,40,14,6,9,17,32,31,28,7,11,36,30,23,39,15,21,38,13
3,38,16,29,25,34,32,40,7,4,24,19,23,2,21,35,31,5,14,18,15,39,10,27,22,30,9,1,12,37,11,17,13,20,33,8,6,26,36,28
31,40,36,21,3,16,11,14,10,7,12,34,13,39,5,23,38,18,35,30,33,28,24,8,9,26,37,25,1,4,17,6,2,19,27,15,22,29,20,32
37,2,21,16,30,36,22,26,32,34,31,1,33,40,11,24,35,23,29,27,15,28,6,19,25,13,7,10,14,4,8,9,3,39,18,5,20,17,38,12
34,40,22,38,18,19,29,15,28,24,13,1,16,2,4,35,21,7,9,33,37,27,36,11,31,32,3,14,10,23,17,26,5,12,25,30,6,8,39,20
36,35,3,18,5,37,8,19,17,12,10,24,38,13,9,2,32,27,34,1,26,4,40,22,6,11,7,23,15,16,39,29,30,14,33,28,25,20,21,31
40,22,13,2,17,15,32,8,38,1,27,16,24,35,25,28,19,21,7,10,12,3,30,11,29,39,9,31,4,36,23,37,26,33,20,5,14,6,34,18
