1, 23
2, 26
3, 51
4, 78
5, 53
6, 19
7, 50
8, 59
9, 9
10, 39
11, 17
12, 2
13, 10
14, 11
15, 6
16, 41
17, 14
18, 71
19, 21
20, 58
21, 54
22, 28
23, 42
24, 62
25, 8
26, 37
27, 60
28, 1
29, 70
30, 32
31, 75
32, 47
33, 76
34, 7
35, 40
36, 77
37, 15
38, 18
39, 48
40, 72
41, 43
42, 57
43, 69
44, 65
45, 12
46, 52
47, 24
48, 20
49, 25
50, 46
51, 29
52, 34
53, 79
54, 36
55, 56
56, 49
57, 73
58, 67
59, 68
60, 61
61, 16
62, 22
63, 3
64, 80
65, 64
66, 66
67, 63
68, 30
69, 55
70, 5
71, 31
72, 74
73, 45
74, 35
75, 38
76, 13
77, 33
78, 4
79, 44
80, 27
