80

30,18,7,50,23,73,21,9,52,25,40,56,67,45,41,64,24,59,1,80,2,66,15,71,4,75,32,31,62,22,29,55,19,37,17,76,53,54,42,46,27,12,35,28,60,11,68,57,34,8,77,13,58,51,78,65,5,33,79,38,26,14,48,6,49,70,47,39,43,10,63,69,3,72,61,44,20,74,36,16
58,75,26,72,68,57,40,64,21,60,5,7,77,3,59,44,56,36,32,24,54,8,43,1,23,29,19,71,66,20,34,69,37,79,27,78,6,35,30,28,9,33,11,48,45,76,47,13,17,14,67,39,74,22,15,42,50,4,25,53,41,12,73,49,18,46,51,70,62,38,55,65,52,63,80,10,2,61,31,16
51,17,73,48,26,36,11,5,12,41,79,28,16,13,74,23,42,78,70,18,80,53,3,10,77,46,38,61,30,19,9,44,57,29,37,52,4,34,68,6,50,72,60,67,69,76,45,65,27,21,39,54,7,56,20,22,24,59,32,33,2,71,75,58,64,55,1,49,15,63,43,40,8,25,31,62,47,35,66,14
52,78,28,4,37,15,72,22,14,38,18,57,47,24,51,8,56,76,9,30,6,7,32,13,66,21,25,17,67,53,33,1,58,40,43,73,64,59,63,74,49,34,65,23,39,31,11,61,2,80,29,54,27,44,45,36,26,60,3,48,77,50,19,79,70,10,5,75,42,46,41,68,62,69,20,12,35,16,71,55
53,80,40,46,12,76,34,7,17,22,4,35,25,27,78,44,32,58,47,3,66,70,68,72,11,15,69,8,16,9,1,33,75,51,14,38,62,77,61,19,60,55,79,31,54,5,49,28,2,65,63,36,59,6,74,20,26,39,57,48,50,13,24,45,41,52,10,43,30,71,64,21,29,23,37,42,18,67,56,73
18,49,2,56,19,28,11,48,55,3,66,1,16,5,12,14,25,61,37,17,59,63,9,31,21,6,29,46,23,38,33,20,72,51,27,58,40,4,70,64,57,50,36,53,35,47,7,45,76,62,75,74,80,68,41,43,60,30,52,15,26,44,39,24,65,69,71,73,13,78,22,34,67,32,54,8,79,10,42,77
50,68,35,53,43,56,58,1,20,40,38,27,75,74,37,28,23,31,39,29,49,54,26,76,33,73,71,47,57,7,55,80,3,52,70,30,16,18,60,34,67,12,22,46,61,63,24,79,44,10,14,59,51,19,21,45,64,66,42,8,25,32,48,4,65,72,36,5,41,6,11,78,77,62,9,15,69,13,17,2
13,60,20,36,28,72,59,18,69,79,68,30,32,58,44,39,42,7,31,6,33,40,8,48,19,63,50,34,55,11,27,17,26,22,47,61,43,15,1,3,80,14,76,9,5,57,16,62,70,35,77,78,37,53,2,46,66,24,51,4,49,65,25,74,41,12,71,52,75,29,38,10,23,56,54,45,64,67,21,73
73,30,36,69,9,42,35,29,57,46,68,78,2,75,13,34,47,76,21,28,70,59,58,62,65,50,22,23,31,18,1,45,15,17,11,19,80,43,41,37,60,56,67,24,14,27,33,32,54,66,71,10,49,7,72,40,63,48,64,55,12,25,53,38,20,79,5,16,74,52,6,4,39,8,3,26,51,44,77,61
30,29,35,36,57,78,7,26,39,48,50,37,24,43,33,22,54,17,38,56,40,16,62,4,77,23,55,58,65,52,15,73,45,28,80,68,47,14,1,41,69,25,32,49,76,34,20,6,61,19,21,44,12,2,72,5,67,63,70,71,11,13,8,46,74,79,64,60,75,31,51,10,3,42,59,53,18,66,27,9
5,27,62,53,37,51,8,17,11,24,32,18,26,68,46,28,34,80,48,25,29,72,66,44,41,58,10,36,61,14,47,65,73,74,30,7,60,63,52,3,56,50,49,70,64,54,40,12,71,38,22,20,21,23,76,45,13,43,59,77,57,67,33,79,6,35,9,1,4,78,19,2,75,55,16,42,69,39,31,15
70,32,58,19,73,68,51,46,2,37,75,42,24,47,67,34,44,78,80,29,66,45,69,36,63,57,15,16,41,59,61,20,76,62,38,1,72,79,40,55,33,31,3,50,21,56,49,8,65,27,54,6,26,53,4,48,12,7,10,52,17,25,74,11,64,22,18,77,60,5,43,71,23,13,9,35,30,28,39,14
22,10,77,59,2,27,51,72,62,1,20,29,32,42,6,33,79,26,37,36,13,9,45,23,70,8,31,38,55,35,34,28,61,47,39,46,14,15,67,73,4,40,25,5,78,41,64,68,21,69,76,43,56,18,17,3,49,19,66,57,52,16,24,11,75,63,60,7,74,50,48,30,71,44,53,80,54,65,58,12
66,25,10,79,19,74,11,1,49,52,56,32,6,68,24,34,42,9,7,12,21,54,14,26,70,22,30,51,43,13,59,40,8,77,4,61,64,58,17,55,5,63,15,50,60,37,20,45,71,38,78,16,69,31,73,3,62,65,75,28,72,76,41,23,57,67,18,46,39,48,33,44,53,2,27,36,35,29,47,80
13,59,31,17,2,9,6,63,11,65,14,58,38,19,26,20,21,8,7,4,54,56,33,12,39,52,64,51,71,1,78,69,23,72,24,80,50,61,68,60,32,48,46,45,41,35,37,53,10,25,77,70,42,34,5,3,40,44,75,66,22,47,62,28,74,18,67,30,73,15,16,29,57,79,49,76,36,43,55,27
36,24,45,41,22,19,1,43,48,57,26,10,47,16,18,59,34,35,28,3,61,73,8,29,38,4,71,50,54,64,33,11,72,15,49,42,56,77,58,20,2,68,12,21,39,40,63,70,69,75,55,53,30,67,65,51,17,37,52,78,7,80,32,13,74,25,6,44,60,23,27,31,76,79,9,14,46,66,5,62
26,14,60,28,41,7,25,38,16,19,52,18,53,45,69,55,73,64,56,76,40,31,58,66,23,65,27,33,61,75,37,42,6,3,59,54,47,8,30,51,71,77,11,70,35,79,36,2,78,44,80,21,24,68,9,49,62,50,4,20,63,1,29,46,34,72,74,43,67,5,32,48,57,22,15,12,10,17,39,13
71,35,51,27,46,79,17,3,5,32,63,65,74,31,53,56,37,26,75,8,23,2,39,29,42,59,55,1,47,61,13,40,20,77,10,9,64,33,57,34,38,43,14,21,18,28,4,19,73,15,76,66,68,11,44,62,50,67,41,30,52,70,78,6,7,60,12,48,45,69,16,49,25,72,54,58,36,22,24,80
57,21,68,29,67,1,51,65,15,62,80,45,55,24,54,74,14,10,72,71,63,32,13,27,47,28,40,46,37,43,44,73,17,41,50,39,49,70,33,7,64,77,56,11,22,60,3,76,30,61,19,69,42,53,34,23,25,2,16,5,36,59,78,6,18,79,31,38,66,20,8,75,26,48,58,35,4,9,12,52
14,30,58,54,71,2,3,41,52,25,42,32,43,8,4,35,74,22,45,57,19,46,49,79,11,36,15,51,75,69,24,21,26,17,33,76,55,67,62,47,70,40,72,61,27,34,23,9,16,56,66,64,38,77,20,31,50,48,60,10,37,12,5,44,39,29,28,78,59,80,18,53,6,1,65,68,73,7,63,13
54,39,70,80,22,78,23,75,21,59,67,51,1,6,53,68,50,63,69,9,48,20,76,32,28,42,27,37,7,26,57,5,74,52,46,56,71,36,33,17,30,12,77,61,60,62,13,34,41,45,14,40,64,44,8,79,16,2,11,24,25,3,43,47,19,49,18,31,35,38,29,66,58,15,10,65,73,4,72,55
28,62,1,64,52,41,47,35,71,8,55,65,56,74,22,11,46,70,76,54,2,5,26,10,7,42,78,73,68,57,27,48,39,80,25,24,45,61,67,43,3,63,38,40,14,18,36,21,77,6,4,59,37,15,50,60,53,75,20,72,9,29,58,23,31,30,19,34,16,44,49,69,13,33,51,66,17,32,12,79
42,49,19,20,29,25,48,43,60,9,1,24,21,16,14,23,53,2,74,7,33,38,39,70,41,72,15,35,11,69,52,50,73,28,4,5,47,65,13,77,30,34,27,22,55,45,6,79,80,62,63,71,17,44,54,32,12,67,8,10,76,51,58,61,78,68,3,56,75,18,37,59,36,40,31,64,66,57,46,26
32,62,26,12,39,4,2,72,68,27,13,22,37,6,55,48,76,8,16,19,64,24,46,50,14,59,30,63,43,49,35,11,45,60,9,58,57,51,65,23,28,75,25,44,41,47,34,10,53,20,15,5,40,17,3,77,70,54,42,74,56,18,31,71,33,80,78,67,29,66,52,1,21,38,61,7,69,73,36,79
8,23,36,27,60,14,51,9,40,39,3,1,19,15,46,62,68,57,72,12,32,69,38,56,31,22,76,74,77,34,50,16,21,59,45,30,75,54,67,52,28,25,20,41,4,71,58,65,55,37,33,49,80,48,5,64,61,47,44,2,6,63,7,18,53,29,66,10,35,13,11,42,24,73,26,70,43,79,17,78
37,27,16,26,44,28,57,18,29,76,46,30,45,9,42,2,33,54,23,51,49,36,35,38,3,21,12,62,19,79,13,72,24,10,25,64,53,40,70,41,71,52,7,6,48,60,59,20,68,61,17,34,55,56,15,80,73,58,32,67,75,14,50,11,66,65,31,39,8,22,63,43,4,5,1,69,77,47,74,78
60,67,55,39,69,40,21,33,65,12,30,62,73,13,31,38,36,42,52,51,10,27,56,48,78,58,3,11,28,61,54,66,46,2,9,23,47,35,76,17,15,32,5,6,71,26,68,41,50,49,70,18,64,59,77,45,57,80,25,4,79,22,43,16,37,63,44,29,74,24,7,72,34,8,19,14,20,1,53,75
80,6,1,3,31,46,27,62,70,25,23,24,48,49,50,75,26,68,67,15,60,28,57,55,30,40,45,39,22,38,42,58,71,4,56,77,44,53,63,41,37,11,69,66,73,13,33,2,54,61,19,34,79,36,65,43,10,78,35,5,76,12,7,52,9,72,74,18,21,8,47,17,59,16,64,32,29,51,14,20
60,37,45,79,70,18,65,31,33,30,20,4,8,16,63,56,12,35,19,57,69,46,9,24,59,52,5,22,43,51,58,17,7,42,40,72,34,50,2,71,3,15,10,67,53,6,36,21,23,1,73,28,13,11,41,29,68,49,25,26,62,75,32,78,76,27,74,54,77,48,14,80,47,64,61,44,55,38,66,39
47,1,32,49,14,34,26,60,58,31,35,17,39,69,7,20,41,18,71,6,40,11,24,16,59,72,44,28,10,61,15,23,78,66,30,67,57,33,36,38,27,53,21,52,9,63,50,37,64,76,2,25,62,48,13,73,8,70,19,22,5,51,56,29,43,80,77,68,74,4,65,54,79,46,55,45,12,75,42,3
52,8,75,29,17,79,68,26,19,21,41,18,47,80,50,60,10,9,20,74,34,77,66,36,7,25,15,73,6,57,61,12,42,33,43,11,62,27,14,59,71,35,46,1,70,31,23,67,40,37,13,4,45,39,48,3,53,65,64,78,30,56,54,63,44,38,5,22,24,58,49,55,2,16,32,28,51,69,72,76
