90

59,69,25,60,2,16,22,79,39,11,74,34,46,81,76,15,52,84,58,8,30,12,44,13,23,45,31,82,26,37,87,41,40,72,80,83,64,85,50,62,63,77,4,68,28,53,47,89,42,55,71,65,20,57,3,19,88,86,75,36,10,70,73,7,32,5,14,27,33,56,38,61,54,18,29,9,66,90,21,24,43,17,1,6,67,49,48,35,51,78
36,20,17,42,82,43,58,38,37,28,50,59,83,8,56,89,44,21,22,13,49,87,2,61,51,19,46,16,23,86,34,18,79,47,1,65,90,31,54,76,12,27,39,53,24,67,63,85,48,80,32,88,9,4,25,62,77,68,75,81,64,57,55,40,41,14,78,26,74,35,69,84,15,45,10,70,29,72,5,33,7,73,3,11,71,52,30,60,66,6
63,31,20,88,64,8,69,81,80,7,77,21,78,16,22,3,59,43,17,73,79,10,42,15,38,28,65,32,19,89,85,47,68,45,62,40,71,23,13,37,90,76,53,54,36,26,72,49,11,29,39,83,51,18,87,75,44,57,60,35,61,12,27,25,82,52,67,84,2,56,33,46,5,1,41,70,66,58,14,86,55,50,74,30,9,48,4,24,34,6
44,69,22,72,24,10,55,78,77,80,88,33,74,42,16,62,49,85,71,64,38,58,23,7,4,20,61,1,39,31,14,18,26,68,29,57,86,2,51,70,46,32,15,89,43,48,35,30,36,37,28,45,52,90,41,40,65,8,19,3,79,76,56,82,73,11,53,47,81,59,34,50,75,63,5,21,67,17,66,13,25,6,9,60,87,84,27,54,83,12
9,45,53,42,71,64,30,66,31,68,54,23,41,35,73,48,58,7,65,2,14,8,52,20,5,21,33,89,82,1,63,19,75,85,62,16,49,84,28,36,15,76,59,40,32,34,3,26,78,17,55,60,72,4,43,87,10,79,24,67,22,88,11,6,51,70,74,47,38,12,80,18,57,50,39,56,13,37,25,86,90,77,46,44,69,29,83,61,81,27
32,8,70,52,53,66,59,62,21,68,17,9,18,41,75,33,87,29,60,74,49,3,22,72,45,27,7,79,13,88,34,23,57,28,80,38,25,42,2,46,43,12,39,86,5,90,6,48,65,54,71,84,47,26,85,14,73,51,44,16,24,63,56,35,64,30,19,76,37,83,77,15,89,36,31,50,20,55,61,4,81,1,67,69,82,58,78,40,11,10
35,28,30,13,9,5,58,67,16,19,44,75,69,41,85,38,31,60,22,39,42,18,71,68,63,25,50,89,26,10,49,51,70,45,64,17,59,8,27,77,47,1,61,78,3,21,81,74,34,80,40,2,82,20,37,53,66,15,76,7,54,29,12,83,90,23,11,6,87,57,4,46,56,72,88,79,24,62,43,33,32,14,48,52,86,84,36,65,55,73
5,88,47,33,38,8,49,3,77,46,6,72,52,27,43,90,34,35,53,22,2,41,4,64,18,71,86,70,29,20,37,36,55,81,31,58,10,84,61,66,85,67,7,59,48,15,24,19,73,63,39,30,78,80,50,17,26,28,32,83,60,40,11,57,42,68,13,21,69,62,12,87,76,23,25,9,1,16,75,14,44,56,89,74,51,45,82,65,79,54
16,54,47,49,71,78,1,22,34,67,33,58,11,2,85,65,15,42,44,7,27,88,20,6,56,23,60,53,86,50,57,18,32,70,8,73,80,39,63,25,76,46,55,5,10,59,75,14,66,17,19,83,40,41,51,79,36,35,87,90,68,52,48,3,4,31,43,21,62,29,37,81,30,77,89,24,38,28,74,72,82,45,12,69,64,84,13,61,9,26
16,56,54,90,89,17,24,58,49,30,7,1,71,3,8,10,52,66,34,33,51,43,45,60,27,13,9,77,38,55,61,32,53,78,22,31,81,68,15,6,11,47,26,44,82,25,69,76,41,42,35,39,29,74,14,23,64,21,70,83,40,5,28,50,36,46,88,85,65,12,48,84,63,19,62,67,18,20,57,86,80,75,72,59,73,87,79,4,37,2
53,72,46,28,66,54,68,45,77,32,24,89,33,14,38,48,23,30,49,56,76,57,27,90,29,9,51,22,84,11,13,31,87,26,55,41,2,7,12,52,21,43,19,4,42,65,82,34,81,69,67,74,71,85,20,63,35,44,39,60,37,70,3,88,73,36,8,25,17,75,86,1,16,18,78,15,6,47,58,64,50,10,61,80,62,59,5,83,40,79
6,79,5,44,61,48,33,53,20,39,25,86,83,67,11,2,43,60,18,70,47,14,12,26,85,65,87,38,52,3,42,68,30,40,45,51,15,56,41,50,4,55,80,10,72,77,1,74,71,75,37,17,9,7,29,59,76,84,19,69,62,81,36,23,27,34,89,22,66,90,57,78,28,24,31,58,46,16,54,49,13,8,82,73,63,21,88,32,35,64
77,38,74,70,28,67,73,14,64,82,13,40,15,41,42,56,62,47,25,8,44,88,50,31,63,45,34,51,26,78,54,4,3,29,36,85,60,55,80,18,69,16,12,39,58,76,53,87,23,32,72,75,35,30,81,84,66,24,6,46,17,10,68,11,48,59,79,89,19,22,83,20,43,90,86,27,5,7,9,52,61,33,2,49,1,57,21,65,37,71
32,22,52,82,78,41,5,28,34,43,9,57,45,38,51,75,1,90,74,69,23,6,44,40,39,65,20,48,62,72,66,31,7,25,17,70,15,64,79,12,71,68,56,8,24,10,42,21,58,36,54,86,49,35,67,4,53,84,73,29,27,46,80,26,47,81,13,89,18,83,88,85,33,11,60,76,61,16,55,63,59,50,14,77,19,37,3,30,2,87
50,7,59,2,25,52,27,88,80,87,6,64,47,19,31,73,85,58,67,33,15,49,36,76,21,16,83,78,82,45,71,60,56,30,38,10,66,89,55,26,65,77,8,70,81,44,9,79,54,53,63,34,69,11,12,41,75,32,22,20,40,61,51,74,68,39,84,86,23,1,24,5,14,29,46,3,48,18,13,57,35,90,72,42,4,17,28,43,62,37
17,77,69,52,50,15,37,33,74,3,13,85,49,34,62,29,11,8,40,75,90,41,19,24,67,4,2,30,56,27,72,54,61,51,26,35,70,9,48,38,1,10,31,58,55,22,36,89,39,78,63,23,53,65,80,68,16,57,18,66,6,71,82,76,28,42,81,32,87,60,79,47,83,86,59,43,88,84,7,5,73,20,14,21,44,12,45,64,25,46
32,41,87,24,39,70,57,42,18,7,65,59,45,62,60,56,74,81,3,84,38,88,73,79,16,34,29,80,89,86,67,6,36,64,83,26,25,40,22,51,5,19,52,11,37,35,77,17,58,4,28,78,15,63,71,90,2,31,55,27,47,21,48,76,49,12,14,44,46,33,66,43,1,10,30,13,61,75,8,68,23,72,82,50,85,20,53,54,69,9
