50

50,18,17,5,12,29,19,43,38,31,1,24,48,49,33,6,34,40,25,30,9,16,20,42,11,39,41,22,32,46,45,8,21,23,26,28,27,47,14,35,4,2,15,36,37,7,3,44,10,13
48,24,23,20,11,47,7,35,50,16,21,33,1,3,26,8,6,18,46,19,27,34,36,13,14,32,37,22,31,39,43,17,28,49,30,40,44,2,25,41,45,38,4,12,29,15,10,42,5,9
13,48,27,19,42,7,26,25,9,47,33,1,16,46,38,36,10,32,14,11,4,45,28,12,40,29,23,39,49,35,18,34,6,44,24,8,43,41,31,20,3,17,22,5,21,2,50,37,30,15
3,6,28,41,24,30,50,2,14,33,27,42,45,8,37,38,13,31,1,40,23,43,36,39,5,48,20,15,47,12,35,26,34,18,19,25,22,17,44,46,11,21,9,32,4,29,16,10,7,49
50,9,26,46,18,24,4,43,31,14,49,39,36,16,38,25,11,48,7,22,13,10,30,41,28,29,5,15,21,8,47,44,12,37,40,6,27,34,32,20,23,45,42,2,3,33,1,19,35,17
2,11,13,46,3,20,1,35,30,37,25,21,15,41,8,31,29,4,48,7,10,23,44,9,42,28,14,47,33,45,24,17,43,38,49,32,22,36,26,40,39,34,19,12,50,27,16,6,18,5
48,7,36,33,26,42,17,24,16,4,11,50,37,39,47,10,12,8,13,45,21,40,35,23,14,19,2,28,27,49,31,41,5,46,9,18,29,3,1,30,22,15,44,25,6,20,38,43,34,32
24,20,13,39,42,16,46,6,15,17,2,45,26,8,35,12,44,23,25,9,19,29,22,7,32,38,49,47,27,21,10,11,3,28,41,43,37,30,31,40,33,36,4,50,14,34,18,5,1,48
32,18,36,34,3,37,15,31,45,23,41,6,2,5,19,4,38,27,1,11,30,33,10,46,21,9,20,24,48,40,13,26,44,8,39,17,43,14,16,12,28,7,50,47,42,22,25,29,49,35
7,8,9,10,42,37,23,44,45,32,19,6,31,14,40,26,22,46,2,49,16,50,1,25,47,35,34,43,12,33,29,4,36,21,20,48,5,38,3,15,17,11,24,28,41,30,27,39,13,18
45,21,8,37,49,38,48,33,27,11,47,39,20,7,28,5,3,42,2,24,30,34,18,6,31,40,32,12,4,16,22,26,44,1,50,9,25,19,17,43,13,14,41,23,15,29,36,46,10,35
42,41,48,33,34,47,44,43,12,23,40,27,31,13,3,10,5,21,9,38,25,14,20,24,15,28,7,29,45,46,2,1,19,8,50,49,16,22,39,32,26,37,30,35,17,11,36,18,4,6
28,4,35,10,23,47,50,5,15,36,31,13,34,7,17,43,42,6,20,39,25,2,44,3,11,32,33,41,48,1,22,37,24,46,49,45,19,29,18,30,12,38,8,16,40,21,9,27,14,26
32,35,2,22,42,41,36,43,17,30,46,1,15,25,21,14,29,6,13,20,33,50,48,45,12,27,26,38,9,7,40,34,3,49,31,18,44,19,4,24,37,16,47,28,8,5,10,39,23,11
22,14,1,23,40,20,42,21,29,36,45,13,5,38,9,11,25,18,43,47,35,49,31,34,39,28,50,26,16,17,15,8,48,7,12,30,3,27,10,46,32,4,41,24,33,19,44,2,37,6
31,8,26,18,45,21,49,43,36,13,1,4,5,48,28,10,38,34,32,14,39,30,15,41,2,11,12,17,50,29,20,9,35,47,25,22,42,23,19,27,46,40,6,7,33,37,44,16,24,3
19,30,7,8,12,34,22,16,24,21,29,39,28,20,3,45,48,10,49,42,9,6,15,38,50,18,2,31,23,4,26,33,35,1,43,37,46,5,41,40,11,36,47,44,27,13,32,25,17,14
41,47,20,24,44,14,2,26,4,25,31,36,22,49,5,17,10,33,15,32,30,12,16,23,13,8,18,3,38,40,28,42,45,7,29,19,1,21,35,34,37,11,48,43,39,46,9,6,27,50
6,15,3,22,25,45,24,42,10,30,14,19,43,37,23,49,9,50,7,4,29,48,40,35,17,20,16,21,38,5,2,36,41,32,44,18,28,13,31,27,46,12,8,1,39,34,47,11,33,26
3,23,27,13,39,9,2,30,36,38,25,15,10,40,21,24,26,17,50,14,41,4,43,46,19,28,47,6,35,1,42,12,20,37,44,48,45,11,29,34,49,5,16,7,32,33,18,31,22,8
37,15,8,19,46,4,26,18,32,6,22,29,36,30,33,24,50,13,20,25,34,2,12,10,41,5,14,27,16,49,44,48,23,28,9,7,38,47,11,17,21,31,42,40,3,1,45,43,39,35
21,47,32,40,37,30,16,15,31,11,35,22,17,48,1,44,4,45,3,5,25,13,29,49,18,19,28,41,23,46,8,2,7,10,12,33,9,36,39,34,14,20,26,43,6,38,24,50,27,42
6,26,15,27,42,23,21,13,33,29,3,49,10,1,16,2,28,5,47,20,44,25,18,43,37,17,24,32,41,50,11,46,40,36,8,19,45,31,35,7,38,4,34,14,22,12,39,30,9,48
3,27,25,20,17,48,9,1,21,19,4,45,41,30,6,13,38,7,40,16,37,44,47,28,42,31,32,33,15,29,10,8,34,24,49,18,22,35,14,50,43,36,11,5,26,46,39,2,12,23
8,18,3,24,42,17,9,11,41,23,43,40,22,5,4,47,12,45,49,50,15,20,29,25,36,19,14,48,10,13,39,7,27,34,38,44,35,46,26,32,2,33,28,16,37,1,30,31,21,6
33,38,10,44,30,1,23,11,21,6,17,24,4,36,8,15,37,19,26,9,43,27,12,25,42,22,31,35,18,13,5,50,46,32,16,3,49,34,2,28,14,45,39,40,20,41,47,48,29,7
39,19,44,49,26,20,4,37,11,43,24,6,15,29,25,9,42,38,50,31,45,12,33,35,46,32,13,14,5,41,36,8,23,27,17,21,28,22,30,10,16,47,3,40,34,1,7,18,48,2
44,4,24,37,15,46,8,17,18,34,47,1,2,49,29,27,7,36,3,5,50,19,21,25,20,48,33,39,11,9,41,26,6,13,28,42,14,45,38,43,40,31,12,10,30,35,32,22,23,16
13,27,6,38,24,9,42,32,22,23,15,41,48,45,3,14,20,29,25,39,33,44,34,40,43,2,46,17,28,47,21,4,30,26,18,19,31,50,10,1,5,37,16,36,11,35,8,7,49,12
5,6,43,25,29,50,49,20,27,19,3,14,7,41,28,24,9,32,34,47,21,45,35,39,2,30,18,1,13,4,33,22,17,48,31,44,10,40,11,36,26,16,38,37,23,15,12,42,46,8
1,36,26,15,3,38,28,42,27,34,44,35,30,32,14,40,4,19,41,5,7,8,20,16,12,45,11,31,13,50,22,43,47,33,39,29,21,24,18,49,46,9,25,48,6,37,2,17,10,23
44,30,37,15,24,50,5,29,4,45,32,7,10,3,28,42,33,41,13,22,23,38,26,16,49,14,47,18,6,36,1,2,43,31,35,12,27,25,39,17,9,20,40,48,19,8,34,21,11,46
2,48,46,26,1,16,34,37,9,24,29,36,45,35,6,32,18,8,23,10,11,30,50,49,38,21,43,33,7,3,19,4,17,22,40,20,44,15,27,12,31,13,25,28,47,14,42,41,5,39
19,42,39,11,4,34,17,30,38,8,22,29,44,15,20,41,23,7,9,10,3,31,43,28,27,5,48,32,2,35,12,18,33,36,47,45,21,40,1,25,14,49,24,46,16,26,6,50,13,37
27,10,49,6,36,11,5,48,20,2,13,31,24,17,7,23,19,50,43,16,28,12,46,8,37,4,26,21,30,14,41,1,15,33,39,25,32,3,22,38,45,44,18,35,40,29,42,34,47,9
4,47,3,48,17,39,40,42,34,38,20,30,29,16,31,5,28,41,36,13,50,27,12,2,44,6,24,43,23,15,46,18,45,35,14,26,32,1,7,22,49,21,8,37,11,33,19,10,25,9
41,15,37,35,45,30,36,8,40,31,7,25,21,17,10,48,20,28,5,50,38,23,47,26,19,29,3,42,12,34,9,13,39,44,11,2,33,14,43,18,4,6,24,32,22,16,46,27,49,1
46,24,34,16,33,40,31,39,22,41,37,49,7,35,32,3,30,28,26,18,29,42,38,15,48,36,5,21,19,27,50,10,11,47,1,25,23,9,44,4,20,8,17,13,12,45,43,6,14,2
46,10,29,38,48,23,42,9,50,44,14,28,26,32,22,35,25,19,16,49,12,30,13,27,11,2,17,5,24,15,47,7,34,3,31,36,21,20,33,40,37,45,39,41,1,8,43,6,4,18
3,22,34,28,41,4,16,8,31,35,7,17,12,19,33,13,20,27,50,24,32,5,11,48,10,1,46,21,38,44,40,43,42,36,23,2,26,45,6,30,37,25,14,29,49,9,47,18,39,15
48,32,41,1,30,27,5,24,16,47,36,38,28,20,14,35,4,3,6,2,22,9,15,17,33,50,19,39,29,13,8,43,46,25,34,12,44,26,45,31,11,40,49,10,7,23,42,18,37,21
11,19,16,9,7,20,25,27,35,12,31,48,37,15,5,21,14,46,22,33,24,2,6,4,44,3,10,34,49,40,18,28,1,41,13,30,39,32,17,29,38,47,43,23,26,42,45,36,50,8
24,23,22,4,17,43,29,13,3,46,50,16,25,9,5,49,27,7,47,10,32,28,45,11,41,8,44,38,42,14,33,39,34,2,26,6,35,18,48,15,21,19,40,12,20,30,37,31,36,1
10,46,2,49,5,1,38,11,19,34,24,45,14,15,32,17,9,37,18,50,43,47,40,12,22,3,6,29,7,39,33,48,21,16,30,4,13,41,42,36,26,28,8,20,35,23,31,44,27,25
26,47,11,22,7,35,9,34,24,29,10,31,6,3,17,18,42,39,33,5,21,46,25,30,23,12,28,50,1,40,48,36,14,15,4,19,32,2,38,27,20,13,8,44,41,49,16,43,45,37
14,9,1,12,10,46,30,45,3,11,50,25,28,44,24,33,2,26,47,42,20,27,32,48,21,36,18,19,8,31,49,4,15,23,39,22,5,37,7,38,43,41,35,6,17,40,29,16,13,34
16,6,37,11,19,45,43,32,49,20,18,46,31,44,13,50,15,48,10,41,2,14,34,27,7,22,21,9,38,28,42,35,40,17,26,33,24,3,36,12,4,47,29,23,25,8,39,30,5,1
2,30,25,42,37,33,48,21,29,22,1,19,13,16,26,11,20,38,3,49,31,43,4,40,5,14,12,47,44,46,39,24,18,17,36,10,50,23,28,7,27,45,32,8,9,41,6,34,15,35
50,13,36,46,29,38,23,3,40,22,10,7,37,48,42,33,35,14,45,31,18,6,9,20,43,12,11,26,24,44,39,28,47,5,4,19,1,21,34,15,49,27,16,2,25,32,30,41,8,17
19,37,33,27,12,3,24,30,35,42,31,16,47,34,2,26,39,15,38,25,6,46,43,23,28,14,36,20,5,18,49,4,44,11,17,50,41,40,32,48,9,7,29,1,13,22,8,45,10,21

46,35,30,49,48,9,37,22,18,19,12,45,23,29,1,17,24,6,34,8,2,25,33,7,3,31,50,42,11,10,38,27,40,32,44,36,47,21,39,28,41,26,16,14,4,13,5,15,20,43
18,5,35,46,48,41,27,43,17,19,10,1,4,44,2,40,39,3,12,45,23,24,13,29,33,16,30,28,22,37,38,31,50,49,42,15,32,7,20,25,9,6,11,26,47,36,21,14,8,34
10,39,29,3,43,14,18,49,24,44,4,22,8,6,31,45,48,7,42,12,17,16,2,46,19,30,11,50,5,1,41,34,15,23,20,33,27,35,37,28,32,38,9,13,25,40,47,36,21,26
13,5,44,14,31,3,25,46,40,26,24,30,6,23,17,15,38,8,49,11,21,20,35,22,1,2,42,19,34,32,41,50,10,18,16,27,37,47,12,36,9,29,7,43,48,45,33,39,4,28
35,33,41,11,15,1,37,30,19,39,45,46,2,28,14,5,42,8,48,27,25,6,47,40,17,13,3,18,4,26,34,43,44,20,31,24,38,29,50,49,21,10,16,12,32,23,36,22,7,9
15,26,5,4,22,3,36,2,33,31,6,8,32,47,16,20,40,49,14,12,29,9,45,10,39,35,13,17,11,38,37,34,27,28,25,7,24,46,48,19,43,42,50,41,1,23,18,21,30,44
1,31,6,23,13,35,27,11,2,42,17,29,15,44,3,43,5,8,50,45,33,24,48,49,28,19,22,32,20,26,9,30,36,7,4,39,14,37,47,25,12,18,40,34,46,21,38,16,41,10
24,6,15,5,44,18,43,30,27,48,13,3,16,4,20,29,39,46,23,50,17,22,31,45,12,14,32,9,49,10,26,38,41,21,25,36,34,11,7,42,2,35,28,19,1,47,33,8,37,40
6,34,46,10,9,49,38,31,14,1,2,13,20,27,44,3,32,26,7,5,17,42,41,16,21,36,43,35,23,50,48,40,29,19,18,30,25,39,4,24,37,28,47,12,11,22,33,8,45,15
5,11,15,31,7,6,45,4,17,34,21,32,38,12,27,46,47,18,29,2,39,41,19,16,37,48,10,35,42,22,43,20,13,40,8,24,33,23,26,9,44,50,30,1,49,3,28,14,25,36
20,10,37,35,11,45,32,7,38,48,40,14,16,18,28,6,5,24,41,15,43,50,23,8,39,30,31,3,44,22,33,2,4,27,1,13,34,21,17,42,9,12,26,29,19,47,36,25,49,46
6,26,17,23,12,16,9,29,14,34,40,11,47,45,3,49,42,13,24,30,32,28,38,2,36,8,48,35,5,39,37,22,1,33,46,27,50,43,20,31,10,18,21,7,19,15,4,25,44,41
