60

31,18,53,16,25,40,32,39,24,45,59,21,49,11,15,34,23,14,22,35,56,58,6,43,46,2,13,51,10,12,5,4,30,54,52,26,17,41,28,27,44,57,9,8,7,60,36,33,19,37,1,29,3,47,50,48,38,20,55,42
32,3,48,31,8,58,37,13,50,26,18,40,28,6,54,29,12,59,42,25,47,22,4,20,51,14,56,46,2,38,30,5,24,49,15,1,45,33,41,52,35,17,21,16,27,11,53,19,7,60,23,9,57,34,55,44,39,10,36,43
2,55,26,58,51,14,45,52,43,49,59,60,4,29,17,5,42,46,33,8,11,19,40,36,48,28,47,44,57,12,25,27,34,38,6,50,15,37,9,56,39,23,35,10,3,53,13,24,31,16,7,21,54,1,22,18,30,32,41,20
46,3,16,40,26,2,5,38,10,45,36,18,13,29,28,59,43,49,1,58,35,25,22,23,60,19,54,37,41,51,12,56,31,47,39,21,55,42,20,15,34,48,53,33,9,30,52,57,44,24,14,50,8,27,7,4,11,17,6,32
36,6,44,13,35,42,19,23,54,34,30,26,51,47,48,31,32,11,29,39,46,10,1,40,38,53,24,49,16,27,12,14,52,55,33,20,21,8,15,18,37,22,50,5,4,9,56,28,59,17,2,41,3,58,60,45,57,43,25,7
28,40,7,36,11,4,31,25,30,20,59,33,24,19,18,44,53,5,17,37,8,12,54,41,58,23,46,55,45,29,27,49,26,6,15,35,9,38,10,22,3,50,39,2,52,16,1,32,51,13,60,56,14,34,21,48,57,43,42,47
11,26,41,55,15,49,43,60,38,33,36,34,2,44,39,23,47,29,42,48,40,37,27,18,54,52,10,21,1,56,14,22,4,59,32,12,7,45,19,57,58,3,20,5,30,31,9,35,17,28,50,6,24,25,8,13,16,46,51,53
51,59,17,52,10,9,16,30,24,4,26,12,49,20,8,11,28,18,50,55,56,31,5,43,44,46,23,14,48,1,29,13,33,39,15,58,60,27,42,6,34,40,37,47,53,35,38,25,21,19,3,54,36,57,32,22,41,2,7,45
10,29,28,34,13,18,50,8,19,20,55,54,49,35,48,38,56,42,21,45,36,39,26,44,32,3,33,37,60,5,43,14,6,2,53,57,17,24,46,25,1,15,31,9,58,12,22,23,4,40,7,30,47,52,51,27,59,11,16,41
57,20,7,47,39,14,40,31,30,32,38,28,23,29,18,35,33,3,51,37,4,6,60,45,59,56,53,11,41,8,21,42,13,49,48,15,34,5,25,12,43,19,44,10,22,27,54,2,16,46,58,1,24,55,52,50,36,9,26,17
29,39,60,13,15,12,48,59,31,23,43,56,44,14,50,40,34,32,38,4,55,41,8,1,20,51,19,53,16,36,33,52,5,22,54,57,37,21,42,58,45,49,46,47,6,26,24,28,18,17,11,25,27,30,35,2,3,7,10,9
1,19,4,28,37,2,24,25,26,42,13,59,14,22,35,40,41,38,23,54,11,57,16,27,34,7,55,44,43,50,8,15,29,47,6,20,56,31,45,51,18,39,49,53,5,32,48,33,46,21,3,30,60,12,58,52,10,17,9,36
21,54,9,56,7,23,18,10,40,35,14,12,13,8,47,20,1,44,5,19,32,3,16,51,38,33,41,29,2,55,58,28,43,34,48,11,4,24,26,31,53,57,46,49,37,30,25,36,17,59,27,6,45,60,22,39,15,42,50,52
11,3,56,49,27,45,42,30,43,2,21,10,47,14,20,39,26,50,54,16,6,13,59,48,9,32,12,1,36,44,34,5,8,38,46,23,33,41,53,55,57,60,18,31,17,58,25,7,52,19,37,15,35,4,51,22,29,40,28,24
51,40,12,15,54,22,16,18,56,36,47,28,30,49,33,42,45,19,5,43,38,10,48,44,57,55,8,34,9,1,14,7,24,3,37,6,17,21,29,32,35,20,60,46,53,26,58,25,52,59,31,27,4,41,23,2,39,50,13,11
40,21,14,6,36,20,56,10,41,26,30,55,37,31,3,7,53,59,33,51,24,54,23,27,1,17,15,38,2,25,11,34,43,19,60,58,22,52,49,5,47,32,8,18,29,39,16,28,42,44,9,45,35,4,57,48,13,50,46,12
46,23,55,49,15,8,20,34,10,44,3,41,53,6,37,13,27,25,16,26,42,59,1,5,11,9,36,60,21,58,43,47,56,39,45,29,7,32,4,57,52,50,24,35,48,18,54,2,33,51,28,22,14,17,38,30,19,40,12,31
