30

6,26,17,18,7,23,5,8,30,24,11,28,22,9,20,3,27,14,25,12,2,15,16,29,21,4,1,10,19,13
23,1,2,7,11,10,14,24,19,20,17,13,5,27,12,25,26,16,30,21,29,28,3,8,9,15,22,6,18,4
7,24,5,1,9,27,29,2,19,16,30,20,12,25,22,23,21,26,10,17,15,8,28,3,13,4,6,11,18,14
4,12,20,17,28,1,16,23,5,30,24,10,7,15,29,9,14,3,8,27,26,22,19,13,6,21,18,11,2,25
15,8,6,13,21,30,4,7,22,25,26,19,5,24,3,17,28,11,14,29,9,23,1,12,18,16,20,2,27,10
7,30,22,11,20,18,27,1,19,10,14,8,26,25,28,3,9,24,21,16,5,23,6,4,12,13,17,29,2,15
30,9,28,27,13,1,2,18,25,16,19,20,7,10,29,26,21,8,6,14,5,24,17,11,15,3,23,4,12,22
22,24,9,16,19,23,21,20,12,29,2,25,10,6,8,13,28,4,1,5,17,7,14,3,18,27,11,26,15,30
4,6,1,16,11,25,23,30,2,22,19,26,12,7,29,28,10,17,27,21,3,8,20,13,14,9,15,5,18,24
14,3,30,13,28,29,25,19,24,8,20,21,27,16,6,1,17,22,11,4,10,2,12,18,5,15,26,23,9,7
23,6,10,20,28,9,16,24,1,25,18,7,13,5,2,30,21,4,17,22,15,19,14,27,12,11,3,26,8,29
13,9,17,27,20,1,15,18,11,21,3,26,19,4,24,2,8,25,14,28,29,22,30,5,23,16,10,7,12,6
4,23,2,25,7,10,24,12,22,9,19,30,26,15,5,18,14,17,28,1,20,3,27,16,6,11,13,29,8,21
6,11,12,27,19,26,2,20,10,14,4,9,8,5,18,28,13,29,17,25,1,21,3,22,30,23,15,7,24,16
21,27,28,20,29,18,17,7,19,23,1,8,3,10,9,30,2,6,25,12,14,11,5,26,16,15,24,4,13,22
5,1,3,10,22,21,12,24,6,2,26,16,4,28,17,19,14,29,25,27,30,18,20,13,23,11,7,8,9,15
26,5,29,11,10,18,15,17,20,27,8,25,19,28,3,14,30,12,9,2,1,21,24,7,6,4,13,22,23,16
3,24,2,22,26,29,28,7,23,4,17,9,30,6,5,10,20,13,8,27,15,16,19,12,1,11,25,21,18,14
1,22,5,14,2,16,27,20,24,30,15,4,6,11,3,10,23,21,18,7,9,13,19,28,26,29,8,17,12,25
15,14,3,23,21,12,13,28,16,20,25,18,19,8,22,11,7,26,10,6,5,4,2,29,17,30,9,24,1,27
10,17,16,20,5,7,12,8,30,28,3,19,9,13,23,25,18,14,29,2,24,6,15,1,4,11,26,22,27,21
1,4,9,14,3,19,6,12,15,10,13,29,5,30,20,26,17,28,18,8,2,24,11,7,16,23,22,21,27,25
16,11,22,15,21,26,17,8,29,23,5,27,12,28,3,24,19,9,13,6,1,18,25,30,10,2,4,20,7,14
11,18,4,9,15,8,3,1,24,22,27,5,7,30,13,14,17,23,2,26,29,20,12,6,21,28,25,19,10,16
25,12,21,2,30,16,5,13,3,6,24,19,29,28,14,27,4,1,20,15,18,11,22,7,9,10,8,17,26,23
