70

56,20,15,38,31,36,61,11,26,62,63,7,55,52,5,28,44,16,42,70,1,47,53,18,39,29,49,33,4,48,10,13,3,58,17,50,69,68,30,46,60,43,21,64,22,59,66,32,12,24,2,34,51,57,14,25,45,27,9,65,19,37,67,35,6,8,40,54,23,41
55,60,51,26,38,56,5,62,46,27,32,49,58,65,21,8,63,16,14,23,9,13,48,28,69,19,54,45,59,18,24,42,39,40,17,11,33,30,44,66,29,12,35,41,64,15,68,50,47,25,1,31,20,2,67,70,43,61,34,37,4,3,52,57,6,10,22,7,53,36
28,47,43,16,10,19,39,24,33,37,6,59,36,51,8,20,5,30,65,60,67,4,57,61,9,64,35,25,31,23,29,53,68,56,17,21,55,58,13,7,1,34,46,62,69,32,14,70,42,66,27,12,22,18,15,11,48,26,40,41,45,44,52,3,50,49,63,38,2,54
22,41,58,62,48,14,1,50,7,64,38,8,61,30,31,35,37,12,23,16,63,54,10,60,3,17,69,39,59,18,36,33,70,47,20,6,43,5,55,46,57,25,51,21,56,45,65,40,42,19,66,13,9,68,52,67,44,27,34,32,24,29,4,15,2,49,11,53,28,26
27,23,6,56,57,37,12,21,60,29,58,67,40,22,46,59,9,18,69,7,16,3,49,24,35,41,26,45,62,42,34,47,39,14,15,53,33,19,68,48,30,11,70,2,13,54,32,8,55,66,36,5,20,43,44,65,17,10,61,31,28,4,1,63,52,51,38,50,25,64
64,62,50,22,59,14,35,46,28,29,60,24,36,19,6,5,7,11,37,42,63,25,40,26,17,58,23,56,3,51,57,30,1,68,44,69,21,31,48,34,55,70,39,54,2,18,4,43,45,16,9,33,27,47,8,61,66,53,20,52,65,13,49,32,67,12,38,41,10,15
56,70,46,44,20,13,12,8,47,3,64,37,41,42,28,2,63,34,31,38,33,45,61,5,58,66,35,51,60,59,11,62,39,30,21,6,32,24,40,15,67,14,65,18,36,52,23,53,7,25,57,43,9,10,50,19,29,68,54,26,16,27,55,22,49,69,4,1,17,48
61,38,36,51,69,3,13,44,40,66,27,8,52,6,41,31,16,10,4,58,33,17,37,30,32,39,47,20,55,63,25,19,9,28,29,35,43,14,12,45,18,11,15,70,62,22,5,49,64,23,68,1,34,21,65,50,42,2,56,24,54,57,60,59,67,26,7,53,46,48
28,25,52,1,11,23,60,6,66,50,41,19,69,62,17,65,21,54,43,47,39,51,3,67,61,36,45,68,44,29,24,4,49,48,38,15,2,16,31,63,14,5,42,56,26,9,18,33,8,27,32,22,40,55,20,7,58,35,57,30,34,64,46,10,70,13,37,59,12,53
55,35,50,59,18,31,21,6,7,40,25,60,1,3,26,32,44,33,63,24,69,49,39,4,41,20,15,57,27,13,61,62,17,66,53,37,16,29,38,67,34,10,54,47,68,36,43,28,65,5,56,48,11,9,64,58,2,22,70,45,51,52,30,23,8,14,46,42,19,12
11,38,58,54,52,8,31,39,9,47,2,37,4,36,19,69,49,27,42,21,16,44,14,40,25,61,3,17,34,18,20,56,6,48,13,57,68,29,23,33,26,10,30,15,45,41,7,63,59,5,32,51,60,46,65,55,64,70,24,12,50,28,67,62,53,35,1,43,22,66
48,37,60,47,42,38,66,29,8,17,46,34,1,30,21,32,40,68,62,67,56,44,49,70,43,31,69,61,33,6,2,3,16,35,20,57,23,45,27,53,25,52,65,28,11,18,19,50,24,15,14,13,7,26,5,58,12,59,4,36,54,64,55,51,9,63,41,22,10,39
16,47,2,27,4,19,14,51,3,39,36,24,41,66,42,57,18,34,70,45,67,59,5,43,69,68,28,40,31,20,44,53,23,11,56,8,7,29,12,17,46,32,65,15,10,58,21,63,61,37,38,54,60,62,9,26,49,52,55,35,30,13,25,22,1,50,33,6,64,48
8,42,31,24,60,21,11,68,5,7,4,18,64,45,39,44,10,63,17,70,25,35,3,2,43,58,27,23,29,56,22,52,69,34,50,67,59,51,38,53,15,28,62,61,48,13,36,19,66,49,37,20,40,30,55,26,33,9,46,12,47,16,6,32,54,1,14,65,41,57
27,67,38,44,22,28,1,10,26,66,57,17,29,42,18,52,56,43,70,45,12,11,39,65,40,60,4,32,2,20,64,31,37,49,69,21,53,33,54,35,68,36,9,46,58,6,23,7,41,8,61,30,13,63,62,51,3,15,16,24,5,25,47,14,48,59,34,19,50,55
12,41,19,61,53,49,2,56,8,39,13,7,40,47,43,31,44,64,22,16,35,3,65,50,58,21,23,37,20,17,59,27,66,68,6,11,63,30,48,4,45,57,55,10,60,42,28,18,14,38,1,62,46,26,67,24,69,70,34,54,32,9,52,5,36,15,51,29,33,25
30,23,27,21,2,33,38,17,7,52,70,12,41,50,4,31,25,16,62,49,18,63,32,69,1,28,51,60,10,56,9,42,66,46,40,36,6,68,11,47,67,59,22,44,39,58,53,55,8,26,29,35,61,48,13,15,24,45,54,65,5,64,14,37,57,3,34,19,43,20
